"menu_id","menu_name","parent_id","order_num","path","component","query","route_name","is_frame","is_cache","menu_type","visible","status","perms","icon","remark","menu_key"
"1","Agent Information","0","0","agent-manage","pages/agent-manage/index",,"agentManage","1","0","C","0","0","agent-manage","AccountBookFilled","","routes.agentManage"
"2","Agent Account Configuration","0","1","agent-account-config","pages/agent-account-config/index",,"agentAccountManage","1","0","C","0","0","","NodeIndexOutlined","","routes.agentAccountConfig"
"3","Order Manage","0","2","order-manage","pages/order-manage/index",,"orderManage","1","0","C","0","0","","FileProtectOutlined","","routes.orderManage"
"4","Abnormal Order Manage","0","2","abnormal-order-manage",,,"","1","0","M","0","0",,"PullRequestOutlined","","routes.abnormalOrderManage"
"5","Order Entry","4","0","order-entry","pages/abnormal-order-manage/order-entry/index",,"abnormalOrderEntry","1","0","C","0","0","","#","","routes.abnormalOrderEntry"
"6","Order Processing","4","1","order-process","pages/abnormal-order-manage/order-process/index",,"abnormalOrderProcess","1","0","C","0","0","","#","","routes.abnormalOrderProcess"
"7","Order Review","4","2","order-review","pages/abnormal-order-manage/order-review/index",,"abnormalOrderReview","1","0","C","0","0","","#","","routes.abnormalOrderReview"
"8","Abnormal Order Statistics","4","3","order-statistics",,,"","1","0","M","0","0",,"#","","routes.abnormalOrderStatistics"
"9","By Day","8","0","day-statistic","pages/abnormal-order-manage/order-statistics/day-statistic/index",,"dayStatistic","1","0","C","0","0","","#","","routes.abnormalOrderDay"
"10","By Operations Staff","8","1","operations-statistic","pages/abnormal-order-manage/order-statistics/operations-statistic/index",,"abnormalOperations","1","0","C","0","0","","#","","routes.abnormalOperations"
"11","By Merchant No","8","3","merchantsno-statistic","pages/abnormal-order-manage/order-statistics/merchantsno-statistic/index",,"abnormalMerchantsNo","1","0","C","0","0","","#","","routes.abnormalMerchantsNo"
"12","Statistics Manage","0","4","statistics-manage",,,"","1","0","M","0","0",,"BarChartOutlined","","routes.statisticsManage"
"13","Order(By Day)","12","0","day","pages/statistics-manage/day/index",,"statisticsDay","1","0","C","0","0","","#","","routes.statisticsDay"
"14","Order(By Agent)","12","1","code","pages/statistics-manage/code/index",,"Code","1","0","C","0","0","","#","","routes.statisticsCode"
"15","SMS Payment(Details)","12","2","sms-pay-details","pages/statistics-manage/sms-pay-details/index",,"smsPayDetails","1","0","C","0","0","","#","","routes.statisticsSmsDetails"
"16","SMS Payment (Agent)","12","3","sms-pay-agent","pages/statistics-manage/sms-pay-agent/index",,"smsPayAgents","1","0","C","0","0","","#","","routes.statisticsSmsAgent"
"17","Weight Config","0","5","weight-config","pages/weight-config/index",,"weightConfig","1","0","C","0","0","","HourglassOutlined","","routes.weightConfig"
"18","Customer Service Tools","0","6","cs-tools","pages/cs-tools/index",,"csTools","1","0","C","0","0","","UserSwitchOutlined","","routes.csTools"
"19","System Manage","0","7","system",,,"","1","0","M","0","0",,"TrophyOutlined","","routes.system"
"20","User Manage","19","0","user-manage","pages/system/user-manage/index",,"systemUser","1","0","C","0","0","","UserOutlined","","routes.systemUser"
"21","Role Manage","19","1","role-manage","pages/system/role-manage/index",,"systemRole","1","0","C","0","0","","#","","routes.systemRole"
"22","Menu Manage","19","3","menu-manage","pages/system/menu-manage/index",,"systemMenu","1","0","C","0","0","","#","","routes.systemMenu"
